team_id,school_name,prefecture,start_round,odds,sqrt_odds,sqrt_odds_capped,odds_source,start_round_source
k2025_01,横浜,神奈川,1,4.67,2.161018,2.161018,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_02,東洋大姫路,兵庫,1,5.24,2.289105,2.289105,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_03,健大高崎,群馬,2,5.64,2.374868,2.374868,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_04,仙台育英,宮城,1,10.42,3.228002,3.228002,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_05,智弁和歌山,和歌山,1,10.94,3.307567,3.307567,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_06,広陵,広島,1,14.88,3.857460,3.857460,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_07,神村学園,鹿児島,2,13.47,3.670150,3.670150,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_08,京都国際,京都,2,16.4,4.049691,4.049691,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_09,沖縄尚学,沖縄,1,14.19,3.766962,3.766962,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_10,東大阪大柏原,大阪,2,17.84,4.223742,4.223742,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_11,天理,奈良,1,18.27,4.274342,4.274342,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_12,関東第一,東東京,2,19.99,4.471018,4.471018,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_13,山梨学院,山梨,2,23.63,4.861070,4.861070,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_14,日大三,西東京,2,28.13,5.303772,5.303772,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_15,西日本短大付,福岡,1,30.73,5.543465,5.543465,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_16,明秀日立,茨城,1,36.73,6.060528,6.060528,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_17,明豊,大分,1,36.23,6.019136,6.019136,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_18,敦賀気比,福井,1,37,6.082763,6.082763,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_19,花巻東,岩手,1,41.61,6.450581,6.450581,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_20,叡明,埼玉,1,49.96,7.068239,7.068239,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_21,小松大谷,石川,1,52.03,7.213182,7.213182,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_22,市船橋,千葉,1,55.61,7.457211,7.457211,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_23,県岐阜商,岐阜,1,61.71,7.855571,7.855571,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_24,高知中央,高知,1,62.41,7.900000,7.900000,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_25,豊橋中央,愛知,2,68.76,8.292165,8.292165,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_26,青藍泰斗,栃木,1,69.37,8.328865,8.328865,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_27,岡山学芸館,岡山,2,69.37,8.328865,8.328865,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_28,済美,愛媛,1,78.05,8.834591,8.834591,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_29,創成館,長崎,1,78.02,8.832893,8.832893,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_30,鳴門,徳島,1,89.16,9.442457,9.442457,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_31,弘前学院聖愛,青森,1,89.16,9.442457,9.442457,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_32,北海,南北海道,1,104,10.198039,10.198039,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_33,聖光学院,福島,2,104,10.198039,10.198039,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_34,金足農,秋田,1,124,11.135529,11.135529,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_35,綾羽,滋賀,1,124,11.135529,11.135529,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_36,東海大熊本星翔,熊本,1,124,11.135529,11.135529,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_37,聖隷クリストファー,静岡,1,198,14.071247,14.071247,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_38,尽誠学園,香川,2,208,14.422205,14.422205,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_39,宮崎商,宮崎,1,311,17.635192,17.635192,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
